RTECS_ID,Toxicity_Class
0000050191,0
0074627524,0
0101526629,0
0112059026,0
0126164758,0
0082842191,1
0037895468,1
0098532673,0
0132382162,0
0015382793,0
0060959059,0
0066871623,1
0004636833,0
0000130201,0
0035695728,0
0057435742,0
0016386995,0
0125055723,1
0113682136,0
0025953199,0
0064048813,0
0076488078,0
0000054853,1
0027588405,0
0085633165,0
0031842010,0
0051490369,0
0119585078,0
0112392991,0
0102281016,1
0080176212,0
0000859187,0
0078131574,0
0061984052,0
0101001369,0
0001913877,0
0000141844,1
0041956518,0
0003483145,1
0119584951,0
0027241925,0
0072286341,0
0006738449,0
0051085804,0
0110406547,0
0060452199,0
0002674911,1
0063704665,1
0015251282,0
0055315430,0
0100317928,0
0003265585,0
0000057943,1
0077694292,0
0101833049,0
0031898494,0
0076167801,1
0058906595,0
0000301122,1
0023598483,0
0155857491,0
0038322724,1
0079944584,1
0100482539,0
0077940240,1
0069838604,0
0097886458,0
0022604100,1
0016713807,0
0041771599,0
0091857953,0
0143691661,1
0055228529,0
0013021904,0
0006548545,0
0000119120,1
0050691946,0
0069467261,1
0033543929,1
0021840084,0
0055416927,1
0027674551,1
0027945546,0
0041956789,0
0000436328,0
0050786840,0
0002971360,0
0099822852,0
0067465672,1
0022199468,1
0004255247,1
0065009258,1
0000735842,0
0002959742,0
0075017413,0
0089703082,0
0144722849,0
0000050248,0
0115243180,0
0000081845,0
0063744536,1
0041987477,1
0007420453,0
0057944453,0
0005096219,0
0088939837,0
0050441275,0
0043114712,0
0003215892,1
0014669148,0
0122777917,0
0117267397,0
0024143268,0
0059681468,0
0081439692,1
0013430132,0
0002089363,0
0000107073,1
0021133904,0
0035629619,0
0073425544,0
0101491445,0
0083337524,0
0086560125,0
0111711525,0
0063992574,1
0001786056,1
0021230808,1
0059703843,0
0003567086,0
0001986409,0
0041220648,0
0004499201,1
0069782178,0
0101832922,1
0068572361,0
0107811121,0
0056383110,0
0000721266,0
0002380634,1
0083540265,0
0080221336,1
0057319661,0
0054981203,0
0004789633,1
0089054795,0
0034197143,1
0000096220,0
0000096344,1
0063233465,0
0071144848,0
0153004536,0
0000741582,0
0121984789,0
0002691410,0
0138187958,0
0073826194,0
0060352490,0
0026228104,0
0023189051,0
0101646100,0
0068060811,0
0000133915,0
0000718821,0
0075859619,0
0031848074,0
0064036891,1
0000298000,1
0107811392,0
0041226146,0
0113875028,0
0112393007,0
0067465116,0
0031282049,1
0063998389,1
0000115957,0
0050413177,0
0035878489,0
0066902678,0
0000079812,0
0035231368,0
0000705602,0
0073927421,0
0055901730,0
0026472004,0
0101040895,0
0003576634,0
0068902578,0
0000087650,0
0013430143,1
0080844173,0
0129243067,0
0091503729,0
0053581536,0
0001897809,0
0083337557,0
0003545060,0
0015312126,0
0000826391,1
0033286225,0
0000104949,0
0007008426,0
0099661662,0
0071079964,0
0139605542,0
0064179197,0
0112059037,0
0063753286,0
0060560023,0
0006063407,0
0037714515,0
0035629426,0
0000613912,0
0058178419,0
0018833620,0
0000127071,0
0020344698,0
0034661751,0
0148581582,0
0041208075,0
0040681070,1
0054903138,0
0053011737,1
0002092560,0
0085684419,1
0069352585,1
0087216282,0
0033098805,0
0010187890,0
0023668113,1
0000094202,0
0021484559,0
0137052847,0
0084423916,0
0021413285,0
0026096991,0
0086433605,0
0061326372,0
0087744965,0
0078131529,0
0002746818,1
0157596355,0
0037613711,1
0107811143,0
0116989276,0
0000434059,0
0071547927,0
0074627557,0
0032767683,0
0056065464,1
0056767761,0
0160807830,0
0033544091,1
0110331061,0
0041735380,0
0003806426,0
0030509934,0
0070385181,0
0103422544,0
0075483533,0
0007472459,0
0031329574,0
0013930319,0
0110138937,0
0000117102,0
0057144895,0
0000107211,0
0098886443,1
0077694269,0
0110924782,0
0063931953,0
0073791158,0
0077267313,0
0019047973,0
0055242552,0
0000632224,0
0088364152,0
0002089238,0
0000083794,1
0018065980,0
0000121197,1
0102584407,0
0014737918,0
0203808406,0
0101329877,0
0060444920,0
0053310331,0
0000080626,0
0055689651,0
0078218527,1
0011050218,0
0139886263,1
0076167436,1
0021436782,1
0013943583,0
0062893203,0
0080772141,1
0031118179,0
0088338709,0
0057775221,0
0080853878,0
0001111393,1
0057236369,0
0033245395,0
0034144417,0
0021677496,0
0069352449,0
0002478388,0
0006382521,0
0072141572,0
0036174182,0
0057860692,0
0071548919,0
0073791147,0
0070541150,0
0097139554,0
0030195698,0
0030979147,1
0063979099,1
0128554836,0
0013045620,0
0039137274,0
0023598927,0
0022891527,0
0000597717,0
0035957609,0
0081320243,1
0059180164,0
0086360330,0
0137731136,0
0069421392,1
0001250960,1
0056396408,0
0148581491,0
0000079049,1
0003724898,0
0084646866,0
0000154994,1
0000316814,0
0056167078,0
0042019307,0
0103291276,0
0122609001,0
0005902921,1
0064097229,0
0100650655,0
0037419593,0
0054981189,0
0027223354,0
0083677194,0
0027545046,0
0000097518,0
0099504888,0
0053644987,0
0104374052,0
0081479654,0
0064461821,1
0080221449,1
0120928098,0
0000552410,0
0000949019,1
0024159215,0
0021230795,1
0050590051,0
0051941049,0
0003776178,1
0000603009,0
0041971215,0
0027512012,0
0038338975,1
0036322904,1
0026586301,0
0033098770,0
0003610911,0
0004579582,0
0055266643,0
0000332332,0
0080854360,0
0002429825,0
0006147371,0
0027912147,0
0102038017,0
0001198556,0
0057944635,0
0064577862,1
0070170819,0
0075273915,0
0042019067,0
0126598321,0
0004593811,1
0104373811,0
0057729869,1
0015386002,1
0077267573,1
0111218838,0
0020866131,0
0098519132,0
0042208399,0
0107811234,0
0064179233,0
0000087081,0
0080614273,0
0000884651,0
0083913046,0
0103079067,0
0062674822,0
0086627818,0
0078499271,1
0034725127,0
0034580762,0
0042469476,0
0085018606,0
0041716841,0
0074797345,0
0027156327,0
0122351999,0
0072041817,0
0000528449,0
0075615951,0
0013074130,1
0035841726,1
0084044291,0
0071548588,0
0032791961,0
0040284013,1
0057462621,0
0081198176,0
0109757860,0
0038527887,1
0064097627,0
0028173877,0
0000106912,0
0073664332,0
0003724650,0
0010016087,1
0074004561,0
0003625067,0
0000640197,1
0073927443,0
0000098011,0
0040987153,0
0102585535,0
0119034081,0
0050539816,1
0149338205,0
0033815133,1
0076472907,0
0000115435,1
0132971596,0
0000614459,0
0015879933,1
0022694968,0
0060959093,0
0000100425,0
0005560781,0
0000054864,0
0023189368,0
0007741915,0
0013292347,0
0029575028,0
0000070224,1
0123792825,0
0000107879,0
0075859700,0
0001090079,0
0000124129,0
0020242324,0
0000063456,1
0071079840,0
0001163093,0
0126463669,0
0072758475,0
0067026555,0
0094522879,0
0014669206,1
0003254793,0
0089170558,0
0077302273,1
0015105927,0
0062052599,0
0056425913,0
0000881992,0
0085209672,1
0035629448,0
0053983894,0
0031878612,1
0171853091,0
0001470366,1
0149338089,0
0063990943,1
0002169644,0
0057259286,0
0003871827,1
0075615928,0
0000103719,1
0136410429,0
0117267535,0
0019561707,0
0018076023,0
0026419738,1
0068061121,0
0107787984,0
0020064419,0
0067441230,0
0037642312,0
0038243731,1
0000109773,1
0072041759,0
0028338310,0
0054087455,0
0133908642,0
0003288582,1
0057263180,1
0119584702,0
0097817066,0
0000149440,0
0080843647,0
0025357022,0
0000963348,1
0126293274,0
0063998323,0
0016980895,0
0132287128,1
0072503129,0
0030979136,1
0112634669,0
0003060897,0
0115550771,0
